145-2,CIENCIAS EDUCACIÓN-URBANO-P,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-2,CIENCIAS EDUCACIÓN-URBANO-P,135,LICENCIADO EN EDUCACIÓN PRIMARIA,LICENCIATURA,A,11
145-2,CIENCIAS EDUCACIÓN-URBANO-P,124,LICENCIADO EN EDUCACIÓN URBANO-PRIMARIA,LICENCIATURA,A,11
145-3,CIENCIAS EDUCACIÓN-RURAL-P,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-3,CIENCIAS EDUCACIÓN-RURAL-P,154,PEDAGOGO,LICENCIATURA,A,11
145-4,CIENCIAS DE LA EDUCACIÓN,154,PEDAGOGO,LICENCIATURA,A,11
145-4,CIENCIAS DE LA EDUCACIÓN,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-5,ADMINISTRACIÓN EDUCATIVA,135,LICENCIADO EN EDUCACIÓN PRIMARIA,LICENCIATURA,A,11
145-5,ADMINISTRACIÓN EDUCATIVA,1311,TÉCNICO SUPERIOR EN EDUCACIÓN,TECNICO SUPERIOR,A,11
145-5,ADMINISTRACIÓN EDUCATIVA,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-5,ADMINISTRACIÓN EDUCATIVA,137,ADMINISTRADOR EDUCATIVO,LICENCIATURA,A,11
145-6,EDUCACIÓN PRIMARIA,135,LICENCIADO EN EDUCACIÓN PRIMARIA,LICENCIATURA,A,11
145-6,EDUCACIÓN PRIMARIA,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-9,CIENCIAS DE LA EDUCACIÓN,1311,TÉCNICO SUPERIOR EN EDUCACIÓN,TECNICO SUPERIOR,A,11
145-9,CIENCIAS DE LA EDUCACIÓN,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-A,CIENCIAS DE LA EDUCACIÓN,1434,TÉCNICO SUPERIOR EN EDUCACIÓN,TECNICO SUPERIOR,A,11
145-A,CIENCIAS DE LA EDUCACIÓN,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-B,ADMINISTRACIÓN EDUCATIVA,137,ADMINISTRADOR EDUCATIVO,LICENCIATURA,A,11
145-C,EDUCACIÓN PRIMARIA,135,LICENCIADO EN EDUCACIÓN PRIMARIA,LICENCIATURA,A,11
145-D,CIENCIAS DE LA EDUCACIÓN,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-E,CIENCIAS DE LA EDUCACIÓN,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
145-I,EDUCACIÓN INTERCULTURAL,326,LICENCIADO EN EDUCACIÓN INTERCULTURAL,LICENCIATURA,A,11
145-L,CIENCIAS DE LA EDUCACIÓN,235,TÉCNICO SUPERIOR PROFESOR DE  REA DE COMUNICACIÓN Y LENGUAJE DEL NIVEL SECUNDARIO,TECNICO SUPERIOR,A,11
145-M,CIENCIAS DE LA EDUCACIÓN,270,TÉCNICO SUPERIOR PROFESOR DEL  REA DE MATEMÁTICAS DEL NIVEL SECUNDARIO,TECNICO SUPERIOR,A,11
145-N,CIENCIAS DE LA EDUCACIÓN,1311,TÉCNICO SUPERIOR EN EDUCACIÓN,TECNICO SUPERIOR,A,11
145-N,CIENCIAS DE LA EDUCACIÓN,131,LICENCIADO EN CIENCIAS DE LA EDUCACIÓN,LICENCIATURA,A,11
146-0,CIENCIAS DE LA COMUNICACIÓN,145,COMUNICADOR SOCIAL,LICENCIATURA,A,11
146-1,CIENCIAS DE LA COMUNICACIÓN,1527,TÉCNICO SUPERIOR EN MEDIOS DE COMUNICACIÓN MASIVA,TECNICO SUPERIOR,A,11
146-1,CIENCIAS DE LA COMUNICACIÓN,145,COMUNICADOR SOCIAL,LICENCIATURA,A,11
146-D,CS. DE LA COMUNICACIÓN DIST,145,COMUNICADOR SOCIAL,LICENCIATURA,A,11
146-E,CIENCIAS DE LA COMUNICACIÓN,145,COMUNICADOR SOCIAL,LICENCIATURA,A,11
146-E,CIENCIAS DE LA COMUNICACIÓN,1527,TÉCNICO SUPERIOR EN MEDIOS DE COMUNICACIÓN MASIVA,TECNICO SUPERIOR,A,11
147-0,SOCIOLOGÍA,167,SOCIOLOGÍA,LICENCIATURA,A,11
147-1,SOCIOLOGÍA,101,LICENCIADO EN SOCIOLOGÍA,LICENCIATURA,A,11
147-2,SOCIOLOGÍA,101,LICENCIADO EN SOCIOLOGÍA,LICENCIATURA,A,11
148-0,PSICOLOGÍA,100,LICENCIADO EN PSICÓLOGO,LICENCIATURA,A,11
148-1,PSICOLOGÍA,100,LICENCIADO EN PSICÓLOGO,LICENCIATURA,A,11
149-1,GESTIÓN DEL TURISMO,266,TÉCNICO UNIVERSITARIO SUPERIOR EN GESTIÓN DEL TURISMO,TECNICO SUPERIOR,A,11
149-1,GESTIÓN DEL TURISMO,268,TURISMÓLOGO,LICENCIATURA,A,11
241-0,TRADUCTOR DE IDIOMAS,194,TRADUCTOR DEL IDIOMA INGLÉS TÉCNICO SUPERIOR,TECNICO SUPERIOR,A,11
241-0,TRADUCTOR DE IDIOMAS,165,TRADUCTOR DE IDIOMAS-TÉCNICO SUPERIOR,TECNICO SUPERIOR,A,11
242-0,DOCENTES (INGLÉS - FRANCÉS),215,DOCENTE EN INGLÉS,TÉCNICO SUPERIOR,A,11
242-0,DOCENTES (INGLÉS - FRANCÉS),237,TÉCNICO SUPERIOR DOCENTE EN INGLÉS,TÉCNICO SUPERIOR,A,11
242-0,DOCENTES (INGLÉS - FRANCÉS),96,DOCENTE EN INGLÉS-TÉCNICO SUPERIOR,TÉCNICO SUPERIOR,A,11
242-1,LICENCIATURA EN INGLÉS,95,LICENCIADO EN INGLÉS,LICENCIATURA,A,11
242-4,LICENCIATURA EN INGLÉS,215,DOCENTE EN INGLÉS,TÉCNICO SUPERIOR,A,11
242-4,LICENCIATURA EN INGLÉS,226,TRADUCTOR INGLÉS-ESPAÑOL ESPAÑOL-INGLÉS,LICENCIATURA,A,11
242-4,LICENCIATURA EN INGLÉS,95,LICENCIADO EN INGLÉS,LICENCIATURA,A,11
242-6,FILOLOGÍA HISPÁNICA,99,LICENCIADO EN FILOLOGÍA HISPÁNICA,LICENCIATURA,A,11
242-7,LENGUAS MODERNAS Y FILOLOGÍA,601,TÉCNICO UNIVERSITARIO MEDIO EN EL IDIOMA INGLÉS,TECNICO MEDIO,A,11
242-7,LENGUAS MODERNAS Y FILOLOGÍA,311,TÉCNICO UNIVERSITARIO SUPERIOR EN EL IDIOMA INGLÉS GUÍA DE TURISMO,TECNICO SUPERIOR,A,11
242-7,LENGUAS MODERNAS Y FILOLOGÍA,95,LICENCIADO EN INGLÉS,LICENCIATURA,A,11
242-8,LENGUAS MODERNAS Y FILOLOGÍA,1123,LICENCIADO EN FRANCÉS,LICENCIATURA,A,11
242-8,LENGUAS MODERNAS Y FILOLOGÍA,313,TÉCNICO UNIVERSITARIO SUPERIOR EN EL IDIOMA FRANCÉS GUÍA DE TURISMO,TECNICO SUPERIOR,A,11
242-9,LENGUAS MODERNAS Y FILOLOGÍA,99,LICENCIADO EN FILOLOGÍA HISPÁNICA,LICENCIATURA,A,11
315-0,C.EDUCACION PROFESOR PRIMER,231,TÉCNICO SUPERIOR PROFESOR DE CURSO DE PRIMER Y SEGUNDO CICLO DEL NIVEL PRIMARIO,TECNICO SUPERIOR,A,11
405-0,ACTIVIDAD FÍSICA,254,TÉCNICO SUPERIOR EN PEDAGOGÍA DE LA ACTIVIDAD FÍSICA,TECNICO SUPERIOR,A,11
405-0,ACTIVIDAD FÍSICA,255,LICENCIADO EN ACTIVIDAD FÍSICA,LICENCIATURA,A,11
405-1,ACTIVIDAD FÍSICA,254,TÉCNICO SUPERIOR EN PEDAGOGÍA DE LA ACTIVIDAD FÍSICA,TECNICO SUPERIOR,A,11
405-1,ACTIVIDAD FÍSICA,255,LICENCIADO EN ACTIVIDAD FÍSICA,LICENCIATURA,A,11
405-2,ACTIVIDAD FÍSICA,255,LICENCIADO EN ACTIVIDAD FÍSICA,LICENCIATURA,A,11
405-2,ACTIVIDAD FÍSICA,1529,TÉCNICO UNIVERSITARIO SUPERIOR EN PEDAGOGÍA DE LA ACTIVIDAD FÍSICA,TECNICO SUPERIOR,A,11
187-0,INGENIERÍA INFORMÁTICA,111,INGENIERO INFORMÁTICO,LICENCIATURA,A,12
187-1,INGENIERÍA INFORMÁTICA,111,INGENIERO INFORMÁTICO,LICENCIATURA,A,12
187-3,INGENIERÍA INFORMÁTICA,1640,TÉCNICO MEDIO EN PROGRAMACIÓN Y DISEÑO DE PÁGINAS WEB,TECNICO MEDIO,A,12
187-3,INGENIERÍA INFORMÁTICA,1639,TÉCNICO MEDIO EN PROGRAMACIÓN Y DISEÑO DE PÁGINAS WEB,TECNICO MEDIO,A,12
187-3,INGENIERÍA INFORMÁTICA,1520,TÉCNICO UNIVERSITARIO SUPERIOR EN DESARROLLO DE APLICACIONES WEB Y MÓVILES,TECNICO SUPERIOR,A,12
187-3,INGENIERÍA INFORMÁTICA,1518,TÉCNICO UNIVERSITARIO SUPERIOR EN PROGRAMA DE COMPUTADORAS,TECNICO SUPERIOR,A,12
187-3,INGENIERÍA INFORMÁTICA,457,TÉCNICO MEDIO EN PROGRAMACIÓN Y DISEÑO DE PÁGINAS WEB,TECNICO MEDIO,A,12
187-3,INGENIERÍA INFORMÁTICA,111,INGENIERO INFORMÁTICO,LICENCIATURA,A,12
